fl_number,quantity,width,height,gusset,substrate,finish,seal_type,zipper,tear_notch,hole_punch,corners,actual_unit_price,calculated_unit_price,error_pct,direction,hp_cost,thermo_cost,poucher_cost,total_cost,labels_per_cycle,gear_teeth,no_across,no_around
FL-DL-1484,50000,3.0,6.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Rounded,0.09421,0.08172,13.25,UNDER,1432.02,465.47,2188.77,4086.25,12,288,1,12
FL-DL-1484,100000,3.0,6.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Rounded,0.09297,0.07848,15.59,UNDER,2821.34,905.74,4120.45,7847.54,12,288,1,12
FL-DL-1253,5000,2.75,5.5,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Rounded,0.28792,0.14108,51.0,UNDER,170.18,69.58,465.64,705.41,13,286,1,13
FL-DL-1253,15000,2.75,5.5,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Rounded,0.20523,0.09402,54.19,UNDER,425.58,155.7,828.98,1410.26,13,286,1,13
FL-DL-1253,20000,2.75,5.5,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Rounded,0.19001,0.08545,55.03,UNDER,553.12,199.06,956.85,1709.03,13,286,1,13
FL-DL-1253,25000,2.75,5.5,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Rounded,0.18321,0.08179,55.36,UNDER,680.99,227.0,1136.83,2044.82,13,286,1,13
FL-DL-1253,50000,2.75,5.5,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Rounded,0.17199,0.07565,56.01,UNDER,1319.01,428.74,2034.9,3782.65,13,286,1,13
FL-DL-1253,100000,2.75,5.5,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Rounded,0.16577,0.07242,56.31,UNDER,2595.38,832.32,3814.11,7241.82,13,286,1,13
FL-DL-1469,50000,3.5,4.5,0,MET PET,Matte,3 Side Seal,None,Standard,None,Rounded,0.09317,0.07918,15.02,UNDER,1678.17,538.74,1741.93,3958.85,10,280,1,10
FL-DL-1469,100000,3.5,4.5,0,MET PET,Matte,3 Side Seal,None,Standard,None,Rounded,0.09034,0.07439,17.66,UNDER,3313.87,1052.4,3072.77,7439.04,10,280,1,10
FL-DL-1469,150000,3.5,4.5,0,MET PET,Matte,3 Side Seal,None,Standard,None,Rounded,0.08947,0.07284,18.59,UNDER,4949.57,1566.06,4410.2,10925.83,10,280,1,10
FL-DL-1469,200000,3.5,4.5,0,MET PET,Matte,3 Side Seal,None,Standard,None,Rounded,0.08872,0.07193,18.92,UNDER,6585.27,2079.71,5721.75,14386.73,10,280,1,10
FL-DL-1469,250000,3.5,4.5,0,MET PET,Matte,3 Side Seal,None,Standard,None,Rounded,0.08847,0.07147,19.22,UNDER,8220.96,2593.37,7052.76,17867.09,10,280,1,10
FL-CQ-1441,5000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.22612,0.19028,15.85,UNDER,250.93,97.62,602.84,951.38,8,288,1,8
FL-CQ-1441,10000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.18702,0.15069,19.42,UNDER,459.16,167.44,880.32,1506.92,8,288,1,8
FL-CQ-1441,25000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.16182,0.12582,22.25,UNDER,1084.52,355.34,1705.69,3145.55,8,288,1,8
FL-CQ-1441,50000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.15476,0.11946,22.81,UNDER,2126.35,685.5,3161.1,5972.95,8,288,1,8
FL-DL-1439,5000,6.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.31769,0.23689,25.43,UNDER,353.94,127.92,702.57,1184.43,5,260,1,5
FL-DL-1439,10000,6.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.27608,0.19657,28.8,UNDER,665.33,215.81,1084.52,1965.67,5,260,1,5
FL-DL-1439,25000,6.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.25551,0.17798,30.34,UNDER,1599.51,501.99,2348.06,4449.56,5,260,1,5
FL-DL-1439,50000,6.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.24808,0.17152,30.86,UNDER,3156.48,978.96,4440.69,8576.13,5,260,1,5
FL-DL-1439,100000,6.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.2438,0.16809,31.05,UNDER,6270.41,1932.89,8606.06,16809.36,5,260,1,5
FL-DL-1435,5000,4.5,5.0,2.0,MET PET,Soft Touch,Stand Up Pouch,None,Standard,None,Rounded,0.2045,0.21341,4.36,OVER,250.93,152.61,663.51,1067.05,8,288,1,8
FL-DL-1435,10000,4.5,5.0,2.0,MET PET,Soft Touch,Stand Up Pouch,None,Standard,None,Rounded,0.16998,0.15535,8.61,UNDER,459.16,273.92,820.41,1553.49,8,288,1,8
