est_no,fl_num,width,height,gusset,substrate,finish,seal_type,zipper,tear_notch,corners,gusset_detail,quantity,lt_price,calc_price,error_pct,abs_error_pct,has_addcost,layout_around,lt_around,layout_match,layout_gear,layout_repeat,stock_length,spoilage,c_substrate,c_priming,c_clicks,c_hp_makeready,c_hp_running,c_laminate,c_thermo_labor,c_zipper,c_poucher_labor,c_sealer,c_packaging
4956,Thermo Laminator,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,K-Seal,100000,0.1499,0.14633351320620816,-2.379244025211371,2.379244025211371,False,8,8,Y,288,36.0,41031.0,0.082,2784.36366,256.03344000000004,1430.6142,31.25,1150.2551020408164,1145.749644,256.44375,2459.77480458,3605.25,128.01672000000002,1385.6
4956,Thermo Laminator,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,K-Seal,250000,0.14529,0.14363980927300787,-1.1357909883626738,1.1357909883626738,False,8,8,Y,288,36.0,101424.0,0.077,6882.63264,632.88576,3536.3167999999996,31.25,2862.0748299319725,2832.163776,633.9,6080.285632319999,8638.0,316.44288,3464.0
6490,FL-DL-1353 Cost Only,3.5,4.5,0.0,MET PET,Matte,3 Side Top Fill,CR Zipper,Standard,Straight,None,5000,0.18301,0.18657434013520405,1.9476204224927827,1.9476204224927827,False,10,10,Y,280,35.0,1968.75,0.108,133.599375,12.285,70.60499999999999,31.25,47.19387755102041,54.975375,14.765625,118.02494812500001,374.74999999999994,6.1425,69.28
6490,FL-DL-1353 Cost Only,3.5,4.5,0.0,MET PET,Matte,3 Side Top Fill,CR Zipper,Standard,Straight,None,10000,0.1491,0.14945772899551585,0.2399255503124333,0.2399255503124333,False,10,10,Y,280,35.0,3555.4166666666665,0.098,241.27057499999998,22.1858,127.50739999999999,31.25,93.45238095238095,99.281455,22.221354166666664,213.14431372500002,494.6111111111111,11.0929,138.56
6490,FL-DL-1353 Cost Only,3.5,4.5,0.0,MET PET,Matte,3 Side Top Fill,CR Zipper,Standard,Straight,None,25000,0.1276,0.12727335258948072,-0.25599326843203035,0.25599326843203035,False,10,10,Y,280,35.0,8315.416666666666,0.092,564.284175,51.8882,298.21459999999996,31.25,232.22789115646256,232.199695,51.97135416666666,498.5024105249999,848.9513888888888,25.9441,346.4
6490,FL-DL-1353 Cost Only,3.5,4.5,0.0,MET PET,Matte,3 Side Top Fill,CR Zipper,Standard,Straight,None,50000,0.12141,0.12100970793051702,-0.3297027176369206,0.3297027176369206,False,10,10,Y,280,35.0,16205.0,0.087,1099.6713,101.1192,581.1576,31.25,462.2448979591837,452.50842,101.28125,971.4764619,1506.4166666666667,50.5596,692.8
6490,FL-DL-1353 Cost Only,3.5,4.5,0.0,MET PET,Matte,3 Side Top Fill,CR Zipper,Standard,Straight,None,100000,0.11804,0.11764477547332824,-0.3348225403861075,0.3348225403861075,False,10,10,Y,280,35.0,31911.25,0.082,2165.497425,199.12619999999998,1144.4286,31.25,920.1530612244898,891.0897449999999,199.4453125,1913.0532702750002,2815.2708333333335,99.56309999999999,1385.6
6489,FL-DL-1353 Cost Only,3.5,4.5,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,K-Seal,5000,0.20347,0.1945007208773442,-4.408158019686341,4.408158019686341,False,10,10,Y,280,35.0,2062.083333333333,0.103,139.93297499999997,12.867399999999998,73.9522,31.25,46.99951409135082,57.581614999999985,15.465624999999998,123.620204925,395.12037037037027,6.433699999999999,69.28
6489,FL-DL-1353 Cost Only,3.5,4.5,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,K-Seal,10000,0.16542,0.15345453709838108,-7.233383449171157,7.233383449171157,False,10,10,Y,280,35.0,3654.583333333333,0.098,248.000025,22.8046,131.0638,31.25,93.42808551992225,102.050585,22.84114583333333,219.08927407499996,514.0555555555555,11.4023,138.56
6489,FL-DL-1353 Cost Only,3.5,4.5,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,K-Seal,25000,0.14119,0.1288248536084046,-8.757806070964952,8.757806070964952,False,10,10,Y,280,35.0,8414.583333333332,0.092,571.0136249999999,52.50699999999999,301.77099999999996,31.25,232.20359572400383,234.96882499999995,52.59114583333333,504.44737087499993,867.2152777777777,26.253499999999995,346.4
