estimate,application,quantity,width,height,gusset,substrate,finish,seal_type,zipper,tear_notch,corners,cmykovg_colors,white_colors,actual_price,calc_price,error_pct,direction,hp_cost,thermo_cost,poucher_cost,total_cost,labels_per_cycle,gear_teeth,no_across,no_around,run_ft
6240,Trulieve Clear ALOX RFP Cost Only,75000,5.5,4.75,2.0,ALOX PET,Soft Touch,Stand Up Pouch,CR Zipper,Standard,Rounded,4,1,0.18237,0.16074,11.86,UNDER,4270.66,2183.93,5601.16,12055.75,6,264,1,6,35164.2
6240,Trulieve Clear ALOX RFP Cost Only,100000,5.5,4.75,2.0,ALOX PET,Soft Touch,Stand Up Pouch,CR Zipper,Standard,Rounded,4,1,0.18138,0.15964,11.99,UNDER,5680.05,2902.58,7381.1,15963.73,6,264,1,6,46854.5
4954,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,5000,4.5,5.0,2.0,MET PET,Gloss,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.25295,0.19305,23.68,UNDER,250.93,91.51,622.84,965.27,8,288,1,8,2016.0
4954,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,10000,4.5,5.0,2.0,MET PET,Gloss,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.20356,0.15151,25.57,UNDER,459.16,155.61,900.32,1515.09,8,288,1,8,3927.0
4954,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,25000,4.5,5.0,2.0,MET PET,Gloss,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.17289,0.12546,27.43,UNDER,1084.52,326.33,1725.69,3136.54,8,288,1,8,9666.0
4954,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,50000,4.5,5.0,2.0,MET PET,Gloss,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.15709,0.11871,24.43,UNDER,2126.35,627.87,3181.1,5935.32,8,288,1,8,19227.0
4954,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,100000,4.5,5.0,2.0,MET PET,Gloss,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.14607,0.1152,21.13,UNDER,4210.34,1231.03,6078.71,11520.08,8,288,1,8,38352.0
4954,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,250000,4.5,5.0,2.0,MET PET,Gloss,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.1415,0.11299,20.15,UNDER,10462.3,3040.51,14744.22,28247.04,8,288,1,8,95727.0
4957,Master Pricing Grid (H) / Core / 4.5W x 5H x 2D / 1148 / MET,5000,4.5,5.0,2.0,MET PET,Soft Touch,3 Side Seal,CR Zipper,Standard,Straight,4,1,0.2336,0.19958,14.56,UNDER,250.93,152.61,594.37,997.91,8,288,1,8,2016.0
4957,Master Pricing Grid (H) / Core / 4.5W x 5H x 2D / 1148 / MET,10000,4.5,5.0,2.0,MET PET,Soft Touch,3 Side Seal,CR Zipper,Standard,Straight,4,1,0.2,0.16067,19.67,UNDER,459.16,273.92,873.62,1606.7,8,288,1,8,3927.0
