fl_number,width,height,gusset,substrate,finish,seal_type,zipper,quantity,unit_price,known_unit_cost,residual,residual_pct,known_pct,click_cost_per_unit,priming_per_unit,hp_labor_per_unit,converting_per_unit,zipper_per_unit,no_across,no_around,stock_width,stock_length_ft,labels_per_cycle
FL-DL-0735,3.5,5.0,1.5,,,Stand Up,Presto CR Zipper,10000,0.3378,0.1101486388632781,0.2276513611367219,67.39235083976374,32.607649160236264,0.015414344,0.0030123240000000003,0.0192365539632781,0.055,0.0174854169,2,12,23.5,1526.0,24
FL-DL-0735,3.5,5.0,1.5,,,Stand Up,Presto CR Zipper,25000,0.27024,0.10358593466336768,0.1666540653366323,61.668911092596325,38.331088907403675,0.0150749456,0.0029459976000000008,0.013079574563367669,0.055,0.0174854169,2,12,23.5,3731.0,24
FL-DL-0735,3.5,5.0,1.5,,,Stand Up,Presto CR Zipper,50000,0.24662,0.10139836659673085,0.14522163340326916,58.884775526424924,41.115224473575076,0.014961812799999998,0.0029238888,0.011027248096730854,0.055,0.0174854169,2,12,23.5,7406.0,24
FL-DL-0735,3.5,5.0,1.5,,,Stand Up,Presto CR Zipper,100000,0.23322,0.10030458256341246,0.13291541743658755,56.99143188259478,43.00856811740522,0.0149052464,0.0029128344000000006,0.010001084863412451,0.055,0.0174854169,2,12,23.5,14756.0,24
FL-DL-0734,4.5,6.5,1.5,,,Stand Up,Presto CR Zipper,5000,0.6766,0.13582907658847865,0.5407709234115213,79.92475959378086,20.075240406219134,0.020929568,0.004951044000000001,0.03246721428847866,0.055,0.022481250299999995,2,9,29.5,999.0,18
FL-DL-0734,4.5,6.5,1.5,,,Stand Up,Presto CR Zipper,10000,0.5611,0.12487927453096868,0.43622072546903135,77.74384699145097,22.25615300854904,0.020363904,0.004817232,0.02221688823096869,0.055,0.022481250299999995,2,9,29.5,1944.0,18
FL-DL-0734,4.5,6.5,1.5,,,Stand Up,Presto CR Zipper,25000,0.48884,0.1183093932964627,0.3705306067035373,75.79793116429452,24.202068835705486,0.0200245056,0.0047369448,0.01606669259646271,0.055,0.0224812503,2,9,29.5,4779.0,18
FL-DL-0734,4.5,6.5,1.5,,,Stand Up,Presto CR Zipper,50000,0.46346,0.1161194328849607,0.3473405671150393,74.94510143594685,25.054898564053147,0.0199113728,0.0047101824,0.014016627384960718,0.055,0.0224812503,2,9,29.5,9504.0,18
FL-CQ-0486,3.5,4.25,2.5,,,Stand Up,Presto CR Zipper,10000,0.2936,0.11002045486327809,0.18357954513672192,62.52709303021863,37.47290696978136,0.015414344,0.00288414,0.0192365539632781,0.055,0.0174854169,2,12,22.5,1526.0,24
FL-CQ-0486,3.5,4.25,2.5,,,Stand Up,Presto CR Zipper,25000,0.22836,0.10346057306336766,0.12489942693663235,54.69409131924695,45.30590868075304,0.0150749456,0.002820636,0.013079574563367669,0.055,0.0174854169,2,12,22.5,3731.0,24
