vendor,fl_number,bag_desc,raw_size,substrate,finish,embellishment,fill_style,seal_type,gusset_type,zipper,tear_notch,hole_punch,corner_treatment,width,height,gusset,print_method,source_type,print_width,bag_area_sqin
ross,FL-DL-1376,,5W X 6.5H X 2G,WHT MET PET,Gloss Laminate,None,Top,Stand Up,K Seal,Standard CR,Standard,None,Straight,5.0,6.5,2.0,digital,spreadsheet,15.0,32.5
ross,FL-DL-1367,,4W X 6H X 2G,MET PET,Soft Touch Laminate,None,Top,Stand Up,K Seal,Standard CR,Standard,None,Straight,4.0,6.0,2.0,digital,spreadsheet,14.0,24.0
ross,FL-DL-1342,,4W X 6H X 1.5G,MET PET,Matte Laminate,None,Top,Stand Up,K Seal,CR Zipper,Standard,None,Rounded,4.0,6.0,1.5,digital,spreadsheet,13.5,24.0
ross,FL-DL-1301,,2.625W X 7H,High Barrier CLR PET,Matte Laminate,None,Top,Stand Up,K Seal,Standard CR,Standard,None,Straight,2.625,7.0,0.0,digital,spreadsheet,14.0,18.375
ross,FL-DL-1347,,6W X 8.5H X 2.5G,MET PET,Matte Laminate,None,Top,Stand Up,K Seal,CR Zipper,Standard,None,Rounded,6.0,8.5,2.5,digital,spreadsheet,19.5,51.0
ross,FL-DL-1346,,5W X 7H X 2G,MET PET,Matte Laminate,None,Top,Stand Up,K Seal,CR Zipper,Standard,None,Rounded,5.0,7.0,2.0,digital,spreadsheet,16.0,35.0
ross,FL-DL-1335,,6W X 9.57H X 3G,High Barrier CLR PET,Matte Laminate,None,Top,Stand Up,K Seal,Standard CR,Standard,None,Rounded,6.0,9.57,3.0,digital,spreadsheet,22.14,57.42
ross,FL-DL-1333,,5W X 14H and 5W X 12H,CLR PET / EVOH,Soft Touch Laminate,None,Bottom,3 Side Seal,None,Standard CR,Standard,None,Rounded,5.0,14.0,0.0,digital,spreadsheet,28.0,70.0
ross,FL-DL-1332,,6W X 9.57H X 3G,Wht Met PET,Soft Touch Laminate,None,Top,Stand Up,K Seal,Standard CR,Standard,None,Rounded,6.0,9.57,3.0,digital,spreadsheet,22.14,57.42
ross,FL-DL-1290,,5W X 9H,MET PET,Soft Touch Laminate,None,Bottom,3 Side Seal,None,Standard CR,Standard,None,Straight,5.0,9.0,0.0,digital,spreadsheet,18.0,45.0
ross,FL-DL-1293,,2.625W X 7H,MET PET,Gloss Laminate,None,Bottom,3 Side Seal,None,Standard CR,Standard,None,Straight,2.625,7.0,0.0,digital,spreadsheet,14.0,18.375
ross,FL-DL-1272,,8W X 6H X 2G,MET PET,Matte Laminate,None,top,Stand Up,K Seal,Standard CR,Standard,None,Straight,8.0,6.0,2.0,digital,spreadsheet,14.0,48.0
ross,FL-DL-1258,,4.5W X 8H X 2G,High Barrier Clear PET,Gloss Laminate,None,top,Stand Up,K Seal,Standard CR,Standard,None,Straight,4.5,8.0,2.0,digital,spreadsheet,18.0,36.0
ross,FL-DL-1234,,8W X 6H X 2G,MET PET,Matte Laminate,None,top,Stand Up,K Seal,Standard CR,Standard,None,Straight,8.0,6.0,2.0,digital,spreadsheet,14.0,48.0
ross,FL-DL-1233,,12W X 9H X 4G,MET PET,Matte Laminate,None,top,Stand Up,K Seal,Standard CR,Standard,None,Straight,12.0,9.0,4.0,digital,spreadsheet,22.0,108.0
ross,FL-DL-1232,,4.5W X 8H X 2G,Wht MET PET,Matte Laminate,None,top,Stand Up,K Seal,Standard CR,Standard,None,Rounded,4.5,8.0,2.0,digital,spreadsheet,18.0,36.0
ross,FL-DL-1231,,4.5W X 8H X 2G,Wht MET PET,Matte Laminate,None,top,Stand Up,K Seal,Standard CR,Standard,None,Rounded,4.5,8.0,2.0,digital,spreadsheet,18.0,36.0
ross,FL-DL-1230,,8.5W X 6H X 2G,Wht MET PET,Soft Touch Laminate,None,top,Stand Up,K Seal,Standard CR,Standard,None,Rounded,8.5,6.0,2.0,digital,spreadsheet,14.0,51.0
ross,FL-DL-1229,,7.5W X 5.5H X 2G,Wht MET PET,Soft Touch Laminate,None,top,Stand Up,K Seal,Standard CR,Standard,None,Rounded,7.5,5.5,2.0,digital,spreadsheet,13.0,41.25
ross,FL-DL-1228,,5.5W X 5.5H X 2G,Wht MET PET,Soft Touch Laminate,None,top,Stand Up,K Seal,Standard CR,Standard,None,Rounded,5.5,5.5,2.0,digital,spreadsheet,13.0,30.25
ross,FL-DL-1210,,5W X 8H,MET PET,Matte Laminate,None,top,3 Side Seal,None,Standard CR,Standard,None,Straight,5.0,8.0,0.0,digital,spreadsheet,16.0,40.0
ross,FL-DL-1208,,5.5W X 8.4375H X 2.125G,MET PET,Soft Touch Laminate,Flat Spot UV,top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,5.5,8.4375,2.125,digital,spreadsheet,19.0,46.40625
ross,FL-DL-1190,,4W X 7H X 2G,MET PET,Soft Touch Laminate,None,top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,Round,Straight,4.0,7.0,2.0,digital,spreadsheet,16.0,28.0
ross,FL-DL-1205,,4W X 6H X 2G,MET PET,Soft Touch Laminate,None,,,K Seal & Skirt Seal,No Zipper,None,None,Straight,4.0,6.0,2.0,digital,spreadsheet,14.0,24.0
ross,FL-DL-1197,,3.62W X 5.86H X 1.5G,WHT MET PET,Matte Laminate,None,top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,3.62,5.86,1.5,digital,spreadsheet,13.22,21.2132
ross,FL-DL-1195,,7W X 5.5H X 2G,MET PET,Matte Laminate,None,top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,7.0,5.5,2.0,digital,spreadsheet,13.0,38.5
ross,FL-DL-1194,,5.5W X 5H X 2.5G,MET PET,Matte Laminate,None,top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,Round,Straight,5.5,5.0,2.5,digital,spreadsheet,12.5,27.5
ross,FL-DL-1188,,5W X 8H X 2.5G,CLR PET,Soft Touch Laminate,None,top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,Round,Straight,5.0,8.0,2.5,digital,spreadsheet,18.5,40.0
ross,FL-DL-1185,,4W X 6H X 2.5G,MET PET,Matte Laminate,None,top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,4.0,6.0,2.5,digital,spreadsheet,14.5,24.0
ross,FL-DL-1186,,3W X 6.25H,MET PET,Soft Touch Laminate,None,Bottom,3 Side Seal,None,Standard CR,Standard,None,Straight,3.0,6.25,0.0,digital,spreadsheet,12.5,18.75
ross,FL-DL-1181,,"6.0"" W X 9.75""H X 1.5""G",MET PET,Matte Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,6.0,9.75,1.5,digital,spreadsheet,21.0,58.5
ross,FL-DL-1183,,2.625W X 6.375H,MET PET,Matte Laminate,None,Bottom,3 Side Seal,None,Standard CR,Standard,None,Straight,2.625,6.375,0.0,digital,spreadsheet,12.75,16.734375
ross,FL-DL-0839,,"5"" W X 4.5"" H X 2.5"" G",MET PET,Matte Laminate,Cold Foil,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Rounded,5.0,4.5,2.5,digital,spreadsheet,11.5,22.5
ross,FL-DL-1143,,"5"" W X 5.5""H X 2""G",MET PET,Matte Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,5.0,5.5,2.0,digital,spreadsheet,13.0,27.5
